Field=Comment~String~Comment~144|Field=Description~String~Description~546|Field=Designator~String~Designator~502|Field=LibRef~String~LibRef~144|Field=Quantity~Integer~Quantity~68|Field=Supplier 1~String~Supplier 1~75|Field=Supplier Part Number 1~String~Supplier Part Number 1~142|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~169|Field=Manufacturer 1~String~Manufacturer 1~182|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~127|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~129|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~122|Field=Supplier Currency 1~String~Supplier Currency 1~123|Field=Supplier Stock 1~Integer~Supplier Stock 1~106|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~H2H Main Board.PrjPCB|ReportField=ProjectFullPath~C:\Users\slopez\workspace\github\tiic-2015\boards\2.0\H2H Main Board\H2H Main Board.PrjPCB|ReportField=Title~Bill of Materials For Variant [H2H Main Board (Main Flash Boot)] of Project [H2H Main Board.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~160|ReportField=ReportTime~18:54:18|ReportField=ReportDate~20/06/2016|ReportField=ReportDateTime~20/06/2016 18:54:18|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~H2H Main Board (Main Flash Boot)|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Samuel López|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~2016/01/06|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=Project~H2H Main Board|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~Main Board|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~H2H Main Board.PrjPCB|ReportField=DataSourceFullPath~C:\Users\slopez\workspace\github\tiic-2015\boards\2.0\H2H Main Board\H2H Main Board.PrjPCB|ReportField=PCBDataSourceFileName~Main Board.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\slopez\workspace\github\tiic-2015\boards\2.0\H2H Main Board\PCB\Main Board.PcbDoc
6.8n|Capacitor|C1, C2|Capacitor|2|||||||||
47p|Capacitor|C3, C4, C5, C6|Capacitor|4|||||||||
1.5n|Capacitor|C7|Capacitor|1|||||||||
4.7n|Capacitor|C8, C9|Capacitor|2|||||||||
1u|Capacitor|C10, C12, C16, C17, C18, C23, C26, C28, C29, C30, C32, C33, C34, C35, C36, C37, C38, C39, C40, C72|Capacitor|20|||||||||
0.1u|Capacitor|C11, C13, C15, C19, C20, C21, C24, C25, C27, C31, C41, C42, C67, C68, C69, C70, C71, C73|Capacitor|18|||||||||
10u|Capacitor|C14, C66|Capacitor|2|||||||||
0.47u|Capacitor|C22, C60|Capacitor|2|||||||||
12p|Capacitor|C43, C44|Capacitor|2|||||||||
22p|Capacitor|C45|Capacitor|1|||||||||
1u|Capacitor|C46, C59|Capacitor|2|||||||||
0.1u|Capacitor|C47, C48, C49, C50, C51, C52, C55, C56, C57, C58|Capacitor|10|||||||||
0.47u|Capacitor|C53, C54|Capacitor|2|||||||||
6p|Capacitor|C61, C62|Capacitor|2|||||||||
10n|Capacitor|C63|Capacitor|1|||||||||
10p|Capacitor|C64, C65|Capacitor|2|||||||||
PESD5V0X1|TVS - Bidirectional Zener Diode|D1, D2, D3|PESD5V0X1|3|Digi-Key|568-4676-1-ND|PESD5V0X1BT,215|NXP Semiconductors|0,68|3|2,04|EUR|4975
BAS70DW-04|TVS - Dual Schottky Rail-to-rail Protection|D4, D5|BAS70DW-04|2|Digi-Key|BAS70DW-04FDICT-ND|BAS70DW-04-7-F|Diodes Incorporated|0,48|2|0,96|EUR|23110
OVSRRGBCC3|LED - RGB, Top/Side-emmiting|D6|OVSRRGBCC3|1|Digi-Key|365-1981-1-ND|OVSRRGBCC3TM|TT Electronics/Optek Technology|0,45|1|0,45|EUR|4977
LFB212G45SG8A127|Filter - RF 2.4 GHz|F1|LFB212G45SG8A127|1|Digi-Key|490-5021-1-ND|LFB212G45SG8A127|Murata Electronics North America|0,32|1|0,32|EUR|5255
JST PH 2 Pin|Conn - Battery, Male, 2 Pin, PCB, Right Angle|J2, JE1, JE2, JE3|S2B-PH-K-S|4|Digi-Key|455-1719-ND|S2B-PH-K-S(LF)(SN)|JST Sales America Inc.|0,15|4|0,6|EUR|74220
PJ-018H-SMT|Conn - DC Power Plug - 4.0 mmOD / 1.7 mmID|J3|PJ-018H-SMT|1|Digi-Key|CP-018HPJCT-ND|PJ-018H-SMT-TR|CUI Inc.|1,21|1|1,21|EUR|55979
FFC 40 Pin|Conn - FFC/FPC, 40 Pin, 1.0mm Pitch, ZIF|J4|ER-CON40HB-2|1|||||||||
